C:\Users\IdoYe\PycharmProjects\Research_Implementing\venv\Scripts\python.exe C:/Users/IdoYe/PycharmProjects/Research_Implementing/common/static_routing/multiple_matrices_MCF.py -p C:\Users\IdoYe\PycharmProjects\Research_Implementing\common\TMs_DB\ScaleFree70Nodes\ScaleFree70Nodes_tms_70X70_length_512_gravity_sparsity_0.3 -n 512
INFO:Creating Network Class
Network ScaleFree70Nodes has been created
INFO:LP Submit to Solve LP expected congestion, given network, TM list and probabilities
INFO:LP Submit to Solve LP expected congestion, given network, TM list and probabilities
  # Matrix    Congestion using multiple MCF - LP    Congestion using LP optimal    Ratio
       383                                1.6644                       1.32143   1.25955
       384                                1.279                        0.978742  1.30678
       385                                1.6213                       1.31593   1.23205
       386                                1.566                        1.17394   1.33397
       387                                1.5368                       1.24286   1.23651
       388                                1.2711                       1.04592   1.2153
       389                                1.6172                       1.17426   1.3772
       390                                1.7328                       1.32627   1.30652
       391                                1.3371                       1.02925   1.2991
       392                                1.2409                       0.931926  1.33154
       393                                1.5815                       1.21978   1.29654
       394                                1.3846                       1.09545   1.26396
       395                                1.2942                       1.0036    1.28956
       396                                1.5629                       1.19165   1.31155
       397                                1.4305                       1.22832   1.1646
       398                                1.2479                       0.981633  1.27125
       399                                1.7115                       1.47999   1.15643
       400                                1.5118                       1.24058   1.21862
       401                                1.2768                       1.09898   1.1618
       402                                1.1466                       0.971939  1.1797
       403                                1.4679                       1.18485   1.23889
       404                                1.3323                       1.02755   1.29658
       405                                1.3067                       1.0167    1.28524
       406                                1.3145                       1.01429   1.29599
       407                                1.5582                       1.23911   1.25751
       408                                1.3778                       1.06211   1.29723
       409                                1.654                        1.30872   1.26383
       410                                1.5641                       1.23077   1.27083
       411                                1.4864                       1.24568   1.19324
       412                                1.3871                       1.15598   1.19994
       413                                1.3807                       1.14762   1.2031
       414                                1.2528                       0.915306  1.36872
       415                                1.4193                       1.11769   1.26985
       416                                1.4361                       1.10828   1.2958
       417                                1.4041                       1.08311   1.29636
       418                                1.5423                       1.13571   1.358
       419                                1.5578                       1.17411   1.3268
       420                                1.6129                       1.32692   1.21552
       421                                1.5804                       1.2688    1.24559
       422                                1.5679                       1.0574    1.48279
       423                                1.4429                       1.26276   1.14266
